,feature,importance
215,SUM(previous_app.RATE_INTEREST_PRIVILEGED),0.2
216,MIN(credit.AMT_TOTAL_RECEIVABLE),0.0
217,SUM(previous_app.DAYS_DECISION),26.6
218,MAX(cash.CNT_INSTALMENT),3.4000000000000004
219,MAX(bureau.CNT_CREDIT_PROLONG),2.5999999999999996
220,MEAN(credit.AMT_PAYMENT_CURRENT),6.4
221,SUM(installments.AMT_PAYMENT),38.4
222,MEAN(credit.SK_DPD_DEF),4.2
223,MIN(previous_app.AMT_APPLICATION),19.0
224,MEAN(credit.CNT_INSTALMENT_MATURE_CUM),2.6
225,MEAN(installments.AMT_INSTALMENT),20.2
226,SUM(previous_app.AMT_CREDIT),22.0
227,MEAN(credit.CNT_DRAWINGS_ATM_CURRENT),19.799999999999997
228,SUM(bureau.AMT_CREDIT_SUM_DEBT),47.8
229,MIN(credit.AMT_BALANCE),2.8
230,MEAN(bureau.AMT_ANNUITY),20.400000000000002
231,MEAN(bureau.AMT_CREDIT_MAX_OVERDUE),58.2
232,SUM(credit.AMT_DRAWINGS_CURRENT),2.8000000000000003
233,SUM(bureau.DAYS_CREDIT_ENDDATE),62.8
234,MEAN(bureau.AMT_CREDIT_SUM),67.2
235,MAX(installments.DAYS_ENTRY_PAYMENT),69.8
236,MIN(bureau.AMT_CREDIT_SUM_DEBT),27.200000000000003
237,MAX(installments.NUM_INSTALMENT_NUMBER),21.799999999999997
238,MIN(credit.AMT_DRAWINGS_POS_CURRENT),0.2
239,COUNT(credit),1.2000000000000002
240,MIN(bureau.AMT_CREDIT_MAX_OVERDUE),13.0
241,MAX(credit.CNT_DRAWINGS_POS_CURRENT),2.2
242,SUM(previous_app.AMT_APPLICATION),13.4
243,MIN(previous_app.AMT_GOODS_PRICE),43.599999999999994
244,MIN(previous_app.DAYS_LAST_DUE_1ST_VERSION),15.799999999999997
245,SUM(credit.AMT_DRAWINGS_POS_CURRENT),4.6
246,MAX(cash.MONTHS_BALANCE),32.2
247,MAX(credit.CNT_DRAWINGS_ATM_CURRENT),4.6000000000000005
248,MAX(previous_app.RATE_DOWN_PAYMENT),52.199999999999996
249,SUM(previous_app.RATE_DOWN_PAYMENT),36.0
250,MAX(credit.SK_ID_CURR),0.0
251,SUM(installments.SK_ID_CURR),22.2
252,MIN(previous_app.DAYS_LAST_DUE),12.799999999999999
253,MEAN(installments.SK_ID_CURR),21.400000000000002
254,MIN(bureau.AMT_ANNUITY),16.200000000000003
255,MIN(previous_app.RATE_INTEREST_PRIMARY),1.6
256,MAX(previous_app.DAYS_LAST_DUE_1ST_VERSION),24.400000000000002
257,MEAN(credit.AMT_RECEIVABLE_PRINCIPAL),6.0
258,MIN(previous_app.RATE_INTEREST_PRIVILEGED),0.2
259,MEAN(bureau.DAYS_CREDIT),70.6
260,MIN(installments.NUM_INSTALMENT_VERSION),0.0
261,MEAN(installments.DAYS_ENTRY_PAYMENT),18.6
262,MEAN(credit.AMT_DRAWINGS_CURRENT),3.2
263,SUM(previous_app.NFLAG_LAST_APPL_IN_DAY),0.6000000000000001
264,SUM(credit.SK_DPD),2.6
265,MAX(credit.AMT_DRAWINGS_CURRENT),3.4000000000000004
266,MAX(previous_app.NFLAG_LAST_APPL_IN_DAY),0.0
267,SUM(credit.AMT_CREDIT_LIMIT_ACTUAL),10.399999999999999
268,MIN(bureau.AMT_CREDIT_SUM_LIMIT),7.800000000000001
